glottocode,EA001,EA002,EA003,EA004,EA005,EA033,soc_id,xd_id,pref_name_for_society,year,EA006,EA007,EA008,EA009,EA010,EA011,EA012,EA013,EA014,EA015,EA016,EA017,EA018,EA019,EA020,EA021,EA022,EA023,EA024,EA025,EA026,EA027,EA028,EA029,EA030,EA031,EA032,EA034,EA035,EA036,EA037,EA038,EA039,EA040,EA041,EA042,EA043,EA044,EA045,EA046,EA047,EA048,EA049,EA050,EA051,EA052,EA053,EA054,EA055,EA056,EA057,EA058,EA059,EA060,EA061,EA062,EA063,EA064,EA065,EA066,EA067,EA068,EA069,EA070,EA071,EA072,EA073,EA074,EA075,EA076,EA077,EA078,EA079,EA080,EA081,EA082,EA083,EA084,EA085,EA086,EA087,EA088,EA090,EA094,EA112,EA113,EA201,EA202,name,isocodes,level,macroarea,latitude,longitude,REF#,Language,NAME2,Family,Continent,Country,Latitude,|Latitude|,Lat bin,Longitude,ln[N],ln[A],MGS,ln[PET],ln[AET],ln[Biomass],AGPOT,ln[NPP],T,1/kT,ln[Precip],Elev,MinElev,MaxElev,ElevRange,Sigmaelev,ln[Rivers],Foraging,Agriculture,distlat,distlon,society_id,society_name,society_xd_id,language_name,language_family,variable_id,npp,code_label,focal_year,sub_case,comment,popd
aari1239,0,0,0,3,7,2,Ca25,xd432,Shangama,1950.5,1,8,5,5,8,1,8,9,11,NA,NA,6,6,1,1,9,9,NA,NA,NA,NA,NA,5,6,5,NA,2,1,NA,NA,1,NA,1,7,2,7,1,1,NA,1,6,NA,NA,NA,NA,9,4,4,3,NA,3,3,NA,NA,NA,NA,10,9,9,NA,NA,2,9,NA,NA,1,1,7,4,7,4,NA,2,2,7,4,8,NA,NA,NA,NA,NA,NA,NA,3,NA,2,3500,Aari,aiw,language,Africa,5.95034,36.5721,3349,Basketo,BASKETO,Afro-Asiatic,Africa,Ethiopia,6.41176991,6.41176991,6,36.56186663,11.43604442,7.011733598,9.731046162,7.438850476,7.055059555,8.132881884,0.835237126,7.116048538,211.1001975,23.96389753,7.295356445,1382.087963,653.1212858,2699.19144,2046.070154,472.6833524,NA,0,100,0.46142991,0.01023337,Ca26,Ubamer,xd433,Aari,South Omotic,MonthlyMeanNetPrimaryProduction,1.868008893,NA,NA,NA,,4.424310822
aari1239,0,0,0,3,7,2,Ca25,xd432,Shangama,1950.5,1,8,5,5,8,1,8,9,11,NA,NA,6,6,1,1,9,9,NA,NA,NA,NA,NA,5,6,5,NA,2,1,NA,NA,1,NA,1,7,2,7,1,1,NA,1,6,NA,NA,NA,NA,9,4,4,3,NA,3,3,NA,NA,NA,NA,10,9,9,NA,NA,2,9,NA,NA,1,1,7,4,7,4,NA,2,2,7,4,8,NA,NA,NA,NA,NA,NA,NA,3,NA,2,3500,Aari,aiw,language,Africa,5.95034,36.5721,3349,Basketo,BASKETO,Afro-Asiatic,Africa,Ethiopia,6.41176991,6.41176991,6,36.56186663,11.43604442,7.011733598,9.731046162,7.438850476,7.055059555,8.132881884,0.835237126,7.116048538,211.1001975,23.96389753,7.295356445,1382.087963,653.1212858,2699.19144,2046.070154,472.6833524,NA,0,100,0.46142991,0.01023337,Ca25,Shangama,xd432,Aari,South Omotic,MonthlyMeanNetPrimaryProduction,1.868008893,NA,NA,NA,,4.424310822
aari1239,0,0,0,3,7,2,Ca25,xd432,Shangama,1950.5,1,8,5,5,8,1,8,9,11,NA,NA,6,6,1,1,9,9,NA,NA,NA,NA,NA,5,6,5,NA,2,1,NA,NA,1,NA,1,7,2,7,1,1,NA,1,6,NA,NA,NA,NA,9,4,4,3,NA,3,3,NA,NA,NA,NA,10,9,9,NA,NA,2,9,NA,NA,1,1,7,4,7,4,NA,2,2,7,4,8,NA,NA,NA,NA,NA,NA,NA,3,NA,2,3500,Aari,aiw,language,Africa,5.95034,36.5721,3349,Basketo,BASKETO,Afro-Asiatic,Africa,Ethiopia,6.41176991,6.41176991,6,36.56186663,11.43604442,7.011733598,9.731046162,7.438850476,7.055059555,8.132881884,0.835237126,7.116048538,211.1001975,23.96389753,7.295356445,1382.087963,653.1212858,2699.19144,2046.070154,472.6833524,NA,0,100,0.46142991,0.01023337,Ca23,Bako,xd430,Aari,South Omotic,MonthlyMeanNetPrimaryProduction,1.868008893,NA,NA,NA,,4.424310822
aari1239,0,0,0,2,8,3,Ca26,xd433,Ubamer,1950,1,8,NA,NA,8,1,8,9,11,NA,NA,4,4,1,1,9,9,NA,NA,NA,NA,NA,5,6,5,NA,NA,1,NA,4,1,NA,1,7,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,NA,NA,1,1,NA,NA,NA,NA,NA,2,2,NA,4,8,NA,NA,NA,NA,NA,NA,NA,3,NA,2,7000,Aari,aiw,language,Africa,5.95034,36.5721,4954,Dorze,DORZE,Afro-Asiatic,Africa,Ethiopia,6.27910612,6.27910612,6,37.5647531,9.942708266,5.810500653,10.20748222,7.201096008,6.991731588,6.849468776,0.77492801,6.885704088,158.6259601,NA,7.210344537,2593.529933,1674.508236,3197.781545,1523.27331,337.5448751,NA,0,100,0.32876612,0.9926531,Ca26,Ubamer,xd433,Aari,South Omotic,MonthlyMeanNetPrimaryProduction,1.868008893,NA,NA,NA,,4.132207612
aari1239,0,0,0,2,8,3,Ca26,xd433,Ubamer,1950,1,8,NA,NA,8,1,8,9,11,NA,NA,4,4,1,1,9,9,NA,NA,NA,NA,NA,5,6,5,NA,NA,1,NA,4,1,NA,1,7,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,NA,NA,1,1,NA,NA,NA,NA,NA,2,2,NA,4,8,NA,NA,NA,NA,NA,NA,NA,3,NA,2,7000,Aari,aiw,language,Africa,5.95034,36.5721,4954,Dorze,DORZE,Afro-Asiatic,Africa,Ethiopia,6.27910612,6.27910612,6,37.5647531,9.942708266,5.810500653,10.20748222,7.201096008,6.991731588,6.849468776,0.77492801,6.885704088,158.6259601,NA,7.210344537,2593.529933,1674.508236,3197.781545,1523.27331,337.5448751,NA,0,100,0.32876612,0.9926531,Ca25,Shangama,xd432,Aari,South Omotic,MonthlyMeanNetPrimaryProduction,1.868008893,NA,NA,NA,,4.132207612
aari1239,0,0,0,2,8,3,Ca26,xd433,Ubamer,1950,1,8,NA,NA,8,1,8,9,11,NA,NA,4,4,1,1,9,9,NA,NA,NA,NA,NA,5,6,5,NA,NA,1,NA,4,1,NA,1,7,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,NA,NA,1,1,NA,NA,NA,NA,NA,2,2,NA,4,8,NA,NA,NA,NA,NA,NA,NA,3,NA,2,7000,Aari,aiw,language,Africa,5.95034,36.5721,4954,Dorze,DORZE,Afro-Asiatic,Africa,Ethiopia,6.27910612,6.27910612,6,37.5647531,9.942708266,5.810500653,10.20748222,7.201096008,6.991731588,6.849468776,0.77492801,6.885704088,158.6259601,NA,7.210344537,2593.529933,1674.508236,3197.781545,1523.27331,337.5448751,NA,0,100,0.32876612,0.9926531,Ca23,Bako,xd430,Aari,South Omotic,MonthlyMeanNetPrimaryProduction,1.868008893,NA,NA,NA,,4.132207612
aari1239,0,0,0,3,7,3,Ca23,xd430,Bako,1950,1,8,5,5,8,1,8,9,11,NA,NA,4,4,1,1,9,9,NA,NA,NA,NA,NA,5,6,5,NA,2,2,NA,5,1,NA,1,7,2,7,1,1,9,1,6,9,NA,NA,1,9,1,4,3,10,3,3,10,NA,NA,9,10,9,9,NA,NA,2,9,NA,NA,1,1,7,4,7,4,NA,2,2,2,4,8,2,2,7,4,8,NA,NA,8,NA,2,NA,Aari,aiw,language,Africa,5.95034,36.5721,2195,Aari,AARI,Afro-Asiatic,Africa,Ethiopia,5.93413598,5.93413598,6,36.55905874,12.36734079,7.988985045,8.724400255,7.386550799,6.897312621,7.293248478,0.732157107,7.096741891,214.603852,23.79175903,7.139863485,1449.223585,439.3433836,3219.424425,2780.081042,677.1563109,NA,0,100,0.01620402,0.01304126,Ca26,Ubamer,xd433,Aari,South Omotic,MonthlyMeanNetPrimaryProduction,1.868008893,NA,NA,NA,,4.378355748
aari1239,0,0,0,3,7,3,Ca23,xd430,Bako,1950,1,8,5,5,8,1,8,9,11,NA,NA,4,4,1,1,9,9,NA,NA,NA,NA,NA,5,6,5,NA,2,2,NA,5,1,NA,1,7,2,7,1,1,9,1,6,9,NA,NA,1,9,1,4,3,10,3,3,10,NA,NA,9,10,9,9,NA,NA,2,9,NA,NA,1,1,7,4,7,4,NA,2,2,2,4,8,2,2,7,4,8,NA,NA,8,NA,2,NA,Aari,aiw,language,Africa,5.95034,36.5721,2195,Aari,AARI,Afro-Asiatic,Africa,Ethiopia,5.93413598,5.93413598,6,36.55905874,12.36734079,7.988985045,8.724400255,7.386550799,6.897312621,7.293248478,0.732157107,7.096741891,214.603852,23.79175903,7.139863485,1449.223585,439.3433836,3219.424425,2780.081042,677.1563109,NA,0,100,0.01620402,0.01304126,Ca25,Shangama,xd432,Aari,South Omotic,MonthlyMeanNetPrimaryProduction,1.868008893,NA,NA,NA,,4.378355748
aari1239,0,0,0,3,7,3,Ca23,xd430,Bako,1950,1,8,5,5,8,1,8,9,11,NA,NA,4,4,1,1,9,9,NA,NA,NA,NA,NA,5,6,5,NA,2,2,NA,5,1,NA,1,7,2,7,1,1,9,1,6,9,NA,NA,1,9,1,4,3,10,3,3,10,NA,NA,9,10,9,9,NA,NA,2,9,NA,NA,1,1,7,4,7,4,NA,2,2,2,4,8,2,2,7,4,8,NA,NA,8,NA,2,NA,Aari,aiw,language,Africa,5.95034,36.5721,2195,Aari,AARI,Afro-Asiatic,Africa,Ethiopia,5.93413598,5.93413598,6,36.55905874,12.36734079,7.988985045,8.724400255,7.386550799,6.897312621,7.293248478,0.732157107,7.096741891,214.603852,23.79175903,7.139863485,1449.223585,439.3433836,3219.424425,2780.081042,677.1563109,NA,0,100,0.01620402,0.01304126,Ca23,Bako,xd430,Aari,South Omotic,MonthlyMeanNetPrimaryProduction,1.868008893,NA,NA,NA,,4.378355748
abkh1244,1,0,0,6,3,2,Ci12,xd577,Abkhaz,1880,4,8,8,2,8,1,8,9,11,6,1,4,4,1,1,9,9,NA,NA,NA,NA,NA,5,6,5,4,2,4,2,NA,NA,NA,3,7,2,4,1,1,6,6,9,9,4,8,1,8,1,2,3,9,9,10,10,9,9,9,9,9,9,5,9,1,9,4,2,4,5,4,1,4,1,2,5,2,7,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,Abkhaz,abk,language,Eurasia,43.056218,41.159115,6015,Abkhaz,ABKHAZ,North Caucasian,Asia,Turkey,41.17492988,41.17492988,41,41.82079292,8.29404964,4.601167127,7,6.843098685,6.459348242,8.655892338,0.580993935,6.666409341,80.63474434,NA,6.658367965,1091.396139,491.6316947,1794.017195,1302.3855,409.5110797,0,10,90,1.88128812,0.66167792,SCCS55,Abkhaz,xd577,Abkhazian,Abkhaz-Adyge,MonthlyMeanNetPrimaryProduction,2.175568182,NA,NA,NA,,3.692882513
