,NGA,PolID,General.variables,Institutional.Variables,Religion.and.Normative.Ideology,Social.Complexity.variables,Social.Mobility,Warfare.variables,terr,logterr,data_range,Date.From,Date.To,year,settHier,adminLevels,militaryLevels,religiousLevels,pop,logpop,x,y
1,Basin of Mexico,MxClass,0,0,9,1,0,7,NA,NA,100-649 CE,100,649,374.5,3,NA,NA,NA,NA,NA,-99.1339996,19.4149578
2,Basin of Mexico,MxFormL,0,0,9,8,0,9,NA,NA,400-101 BCE,-400,-101,-250.5,3.5,NA,NA,2,NA,NA,-99.1339996,19.4149578
3,Basin of Mexico,MxFormM,0,0,0,5,0,5,NA,NA,800-401 BCE,-800,-401,-600.5,2.5,1.5,NA,1,NA,NA,-99.1339996,19.4149578
4,Basin of Mexico,MxEpicl,0,0,9,13,0,11,NA,NA,650-899 CE,650,899,774.5,3,4,2,NA,NA,NA,-99.1339996,19.4149578
5,Basin of Mexico,MxFormE,0,0,0,5,0,5,NA,NA,1200-801 BCE,-1200,-801,-1000.5,2.5,1.5,NA,1,NA,NA,-99.1339996,19.4149578
6,Basin of Mexico,MxPostM,0,0,10,12,0,11,NA,NA,1200-1426 CE,1200,1426,1313,3,NA,NA,NA,750000,13.52782849,-99.1339996,19.4149578
7,Basin of Mexico,MxToltc,0,0,10,11,0,11,22500,10.02127059,900-1199 CE,900,1199,1049.5,4,4,2,NA,175000,12.07254125,-99.1339996,19.4149578
8,Basin of Mexico,MxFormT,0,0,9,9,0,8,NA,NA,100 BCE-99 CE,-100,99,-0.5,3.5,NA,NA,2,NA,NA,-99.1339996,19.4149578
9,Basin of Mexico,MxInitl,0,0,0,1,0,2,NA,NA,2000-1201 BCE,-2000,-1201,-1600.5,1.5,NA,NA,NA,NA,NA,-99.1339996,19.4149578
10,Basin of Mexico,MxArch*,0,0,0,1,0,3,NA,NA,6000-2001 BCE,-6000,-2001,-4000.5,1,NA,NA,NA,NA,NA,-99.1339996,19.4149578
11,Basin of Mexico,MxAztec,0,0,10,19,0,14,28070,10.24245667,1427-1526 CE,1427,1519,1473,5,6,6.5,NA,3500000,15.06827353,-99.1339996,19.4149578
12,Big Island Hawaii,USKameh,0,0,3,9,1,9,15800,9.667765219,1778-1819 CE,1778,1819,1798.5,2,5,3.5,2,120000,11.69524702,-155.5324594,19.5254005
13,Big Island Hawaii,Hawaii1,0,1,1,1,1,1,2350,7.762170607,1000-1200 CE,1000,1199,1099.5,1,NA,NA,NA,NA,NA,-155.5324594,19.5254005
14,Big Island Hawaii,Hawaii2,0,0,1,4,1,1,2250,7.718685495,1200-1580 CE,1200,1649,1424.5,1.5,NA,NA,NA,17237.5,9.754842522,-155.5324594,19.5254005
15,Big Island Hawaii,Hawaii3,0,0,2,7,1,9,9500,9.159047078,1580-1778 CE,1650,1777,1713.5,2,4,3.5,2,118750,11.68477572,-155.5324594,19.5254005
16,Cahokia,USCahoL,0,1,0,7,1,5,2500,7.824046011,1200-1275 CE,1200,1274,1237,4.5,3.5,2,3,45000,10.71441777,-90.0584962,38.6524326
17,Cahokia,USIllin,0,0,0,5,1,7,16500,9.71111566,1640-1717 CE,1640,1717,1678.5,2,2,2,1,5225,8.561210077,-90.0584962,38.6524326
18,Cahokia,USMisEW,0,0,0,3,1,1,NA,NA,600-150 BCE,-600,-151,-375.5,1,1,NA,NA,NA,NA,-90.0584962,38.6524326
19,Cahokia,USMisME,0,1,0,9,1,7,150,5.010635294,900-1050 CE,900,1049,974.5,2.5,2.5,NA,2.5,450,6.109247583,-90.0584962,38.6524326
20,Cahokia,USMisMu,0,0,0,2,0,2,NA,NA,450-600 CE,450,599,524.5,1,1.5,NA,NA,NA,NA,-90.0584962,38.6524326
21,Cahokia,USMisMW,0,0,0,3,1,1,NA,NA,150 BCE - 300 CE,-150,299,74.5,1,1.5,NA,NA,NA,NA,-90.0584962,38.6524326
22,Cahokia,USMisPa,0,0,0,2,0,2,NA,NA,600-750 CE,600,749,674.5,1.5,1.5,NA,NA,NA,NA,-90.0584962,38.6524326
23,Cahokia,USMisRo,0,0,0,2,0,2,NA,NA,300-450 CE,300,449,374.5,1,1.5,NA,NA,NA,NA,-90.0584962,38.6524326
24,Cahokia,USMisSd,0,0,0,5,0,5,750,6.620073207,1275-1400 CE,1275,1399,1337,3,3,2,3,13500,9.510444964,-90.0584962,38.6524326
25,Cahokia,USCahoE,0,1,0,7,1,5,2500,7.824046011,1000-1150 CE,1050,1199,1124.5,4.5,3.5,2,3,45000,10.71441777,-90.0584962,38.6524326
26,Cahokia,USMisSp,0,1,0,2,0,7,150,5.010635294,750-900 CE,750,899,824.5,2,2,NA,2,450,6.109247583,-90.0584962,38.6524326
27,Cahokia,USOneot,0,0,0,2,0,7,6000,8.699514748,1400-1650 CE,1400,1639,1519.5,2.5,1,1.5,1,NA,NA,-90.0584962,38.6524326
