order,society_name_dplace,society_xd_id,language_glottocode,language_name,language_family,group,technology,Subsistence,Ec Org,Politics,ceremony,Spirits,total,Lat,Long,long,lat,altitude,precip,veg,jan temp,july temp,pop density,Fixity of settlement,size of com 7cat,size of community population,Overall Richness,Sea mammal Richness,Fish Richness,Land mammal Richness,acquatic to land ratio...32,acquatic to land ratio...33,form of marriage,incidence of polygamy,postnuptial household residence,forms of descent,forms of kinship,relationships within dem kinship units,relationships within stip kinship units,activities of stip kinship,Agricultrual production,ag recoded,Language,phyla,family...46,branch,id,family...49,Areakm,material_culture,div_of_labor,econ_dist,property,marriage,family,descent,war,lifecycle,shamans,illness,magic
1,North Tlingit,xd1431,tlin1245,Tlingit,Athabaskan-Eyak-Tlingit,Northern Tlingit,6,19,51,7,7,4,169,59,136,8,6,1,5,2,3,1,3,4,3,3,50,22,16,10,3.8,3.8,1,3,7,3,3,3,3,3,5,5,11,4,35,15,1,7,61036.93,16,26,11,10,5,4,16,11,18,5,5,6
2,Tlingit,xd1082,tlin1245,Tlingit,Athabaskan-Eyak-Tlingit,Southern Tlingit,5,19,48,7,7,4,167,57,134,7,6,1,5,2,4,1,3,4,3,3,48,22,16,8,4.75,4.75,1,3,7,3,3,3,3,3,5,5,12,4,35,15,2,12,63132.49,18,24,11,10,5,4,16,11,17,5,5,6
3,Haida (Northern),xd1068,nort2938,Northern Haida,Haida,Northern Massett Haida,5,19,45,6,5,4,158,54,132,7,5,1,5,2,4,1,4,4,3,3,51,22,16,10,3.8,3.8,1,2,7,3,3,3,3,3,5,5,13,4,35,15,3,13,5243.99,15,24,10,9,6,4,16,11,19,5,5,6
4,Haida (Southern),xd1438,sout2956,Southern Haida,Haida,Southern Skidegate Haida,5,19,44,11,5,4,162,53,133,7,5,1,5,2,4,1,4,4,3,3,49,22,16,8,4.75,4.75,1,2,7,3,3,3,3,3,5,5,14,4,35,15,4,15,3496.01,15,24,10,9,7,4,16,11,19,5,5,6
5,Tsimshian,xd1104,nucl1649,Southern-Coastal Tsimshian,Tsimshian,Tsimshian,5,17,49,12,7,4,175,55.3,130,7,5,1,5,2,4,1,4,4,2,2,49,22,17,8,4.875,4.875,1,3,7,3,3,3,3,2,1,1,2,2,10,15,5,10,15934.77,19,26,11,12,3,4,16,11,21,5,4,4
6,Gitxsan,xd998,gitx1241,Gitxsan,Tsimshian,Gitksan,5,18,43,12,8,4,165,56.3,127.5,6,6,2,4,2,3,1,4,4,2,2,26,0,13,11,1.181818182,1.181818182,1,2,7,3,3,3,3,2,1,1,2,2,10,15,6,10,15732.02,15,26,11,12,4,4,16,11,21,5,4,4
7,Haisla,xd1105,hais1244,Haisla,Wakashan,Haisla Kwakiutl,5,19,44,11,7,5,163,53.5,128,6,5,1,6,2,4,2,3,4,3,3,48,22,16,8,4.75,4.75,1,2,7,3,3,3,3,3,1,1,6,4,30,9,7,30,15732.02,16,24,11,9,6,4,16,11,20,5,2,4
8,Haihais,xd1424,oowe1239,Ooweekeeno,Wakashan,Haihais Kwakiutl,5,17,49,11,7,5,167,53,128.5,6,5,1,6,2,4,2,3,4,3,3,48,22,16,8,4.75,4.75,1,2,5,1,2,3,1,1,1,1,6,4,30,9,8,30,7866.01,16,25,11,9,6,2,9,11,21,5,2,4
9,Heiltsuk,xd1083,bell1263,Bella Bella,Wakashan,Bella Bella Kwakiutl,5,18,49,11,7,5,171,52,128,6,5,1,6,2,4,2,3,4,3,3,48,22,16,8,4.75,4.75,1,3,5,1,2,3,1,1,1,1,6,4,30,9,9,30,7866.01,16,25,11,9,6,2,9,11,21,5,2,4
10,Kwakwaka'wakw,xd1090,kwak1269,Kwak'wala,Wakashan,Fort Rupert Kwakiutl,5,18,48,13,7,5,171,50.8,127,6,5,1,4,2,4,2,3,4,3,3,48,22,16,8,4.75,4.75,1,3,5,1,2,3,1,1,1,1,6,4,30,9,10,30,15732.02,14,25,11,9,6,2,9,10,22,5,2,4
11,Nuxalk,xd1106,bell1243,Bella Coola,Salishan,Bella Coola,5,18,49,11,7,4,169,52.5,127.5,6,5,1,5,2,4,2,3,4,3,3,50,22,16,10,3.8,3.8,1,2,5,1,2,3,1,1,1,1,9,4,32,11,11,32,7866.01,18,26,11,9,6,2,9,10,22,5,2,4
12,Nuu chah nulth,xd1070,nuuc1236,Nuu-chah-nulth,Wakashan,Clayoquot,6,17,48,14,7,3,170,49,126,6,4,1,5,2,4,1,4,4,3,3,49,23,16,8,4.875,4.875,1,3,5,1,2,3,1,1,1,1,7,4,30,10,12,30,7866.01,14,26,11,11,6,2,9,11,21,5,2,4
13,Makah,xd1084,maka1318,Makah,Wakashan,Makah,4,17,47,13,8,5,168,48.5,124.7,5,4,1,5,2,5,1,4,4,3,3,53,23,18,10,4.1,4.1,1,2,5,1,2,3,1,1,1,1,7,4,30,10,13,30,1552.34,16,26,11,9,5,2,9,11,22,5,2,4
14,Klahoose,xd1071,slia1241,Sliammon,Salishan,Klahuse,5,20,52,9,6,5,176,50.5,124.5,5,5,1,4,2,4,2,4,4,2,2,51,22,16,11,3.454545455,3.454545455,1,3,5,1,2,3,1,1,1,1,9,4,32,13,14,32,5243.99,20,26,12,10,7,2,9,10,22,5,2,4
15,Pentlatch,xd1427,pent1242,Pentlatch,Salishan,Pentlatch,5,19,49,10,6,5,169,49.5,125,6,4,1,4,2,4,2,4,4,2,2,49,22,16,9,4.222222222,4.222222222,1,3,5,1,2,3,1,1,1,1,9,4,32,13,15,32,1573.21,17,23,12,10,7,2,9,10,21,5,2,4
